ent_fed,sexo,edad,estudiaron_licenciatura
Colima,Mujeres,17,0
Colima,Mujeres,18,445
Colima,Mujeres,19,1293
Colima,Mujeres,20,2164
Colima,Mujeres,21,2247
Colima,Mujeres,22,2445
Colima,Mujeres,23,2348
Colima,Mujeres,24,2350
Chiapas,Hombres,3,0
Chiapas,Hombres,4,0
Chiapas,Hombres,5,0
Chiapas,Hombres,6,0
Chiapas,Hombres,7,0
Chiapas,Hombres,8,0
Chiapas,Hombres,9,0
Chiapas,Hombres,10,0
Chiapas,Hombres,11,0
Chiapas,Hombres,12,0
Chiapas,Hombres,13,0
Chiapas,Hombres,14,0
Chiapas,Hombres,15,0
Chiapas,Hombres,16,0
Chiapas,Hombres,17,0
Chiapas,Hombres,18,2098
Chiapas,Hombres,19,5100
Chiapas,Hombres,20,8692
Chiapas,Hombres,21,8247
Chiapas,Hombres,22,9558
Chiapas,Hombres,23,9041
Chiapas,Hombres,24,8572
Chiapas,Mujeres,3,0
Chiapas,Mujeres,4,0
Chiapas,Mujeres,5,0
Chiapas,Mujeres,6,0
Chiapas,Mujeres,7,0
Chiapas,Mujeres,8,0
Chiapas,Mujeres,9,0
Chiapas,Mujeres,10,0
Chiapas,Mujeres,11,0
Chiapas,Mujeres,12,0
Chiapas,Mujeres,13,0
Chiapas,Mujeres,14,0
Chiapas,Mujeres,15,0
Chiapas,Mujeres,16,0
Chiapas,Mujeres,17,0
Chiapas,Mujeres,18,2253
Chiapas,Mujeres,19,5981
Chiapas,Mujeres,20,9520
Chiapas,Mujeres,21,8604
Chiapas,Mujeres,22,9967
Chiapas,Mujeres,23,9339
Chiapas,Mujeres,24,9146
Chihuahua,Hombres,3,0
Chihuahua,Hombres,4,0
Chihuahua,Hombres,5,0
Chihuahua,Hombres,6,0
Chihuahua,Hombres,7,0
Chihuahua,Hombres,8,0
Chihuahua,Hombres,9,0
Chihuahua,Hombres,10,0
Chihuahua,Hombres,11,0
Chihuahua,Hombres,12,0
Chihuahua,Hombres,13,0
Chihuahua,Hombres,14,0
Chihuahua,Hombres,15,0
Chihuahua,Hombres,16,0
Chihuahua,Hombres,17,0
Chihuahua,Hombres,18,2593
Chihuahua,Hombres,19,5764
Chihuahua,Hombres,20,8782
Chihuahua,Hombres,21,8747
Chihuahua,Hombres,22,9031
Chihuahua,Hombres,23,8950
Chihuahua,Hombres,24,8803
Chihuahua,Mujeres,3,0
Chihuahua,Mujeres,4,0
Chihuahua,Mujeres,5,0
Chihuahua,Mujeres,6,0
Chihuahua,Mujeres,7,0
Chihuahua,Mujeres,8,0
Chihuahua,Mujeres,9,0
Chihuahua,Mujeres,10,0
Chihuahua,Mujeres,11,0
Chihuahua,Mujeres,12,0
Chihuahua,Mujeres,13,0
Chihuahua,Mujeres,14,0
Chihuahua,Mujeres,15,0
Chihuahua,Mujeres,16,0
Chihuahua,Mujeres,17,0
Chihuahua,Mujeres,18,3235
Chihuahua,Mujeres,19,7081
Chihuahua,Mujeres,20,10230
Chihuahua,Mujeres,21,10095
